Entry ID,Message ID,[DE entry name position],[DE entry name size],DE entry name,[ES entry name position],[ES entry name size],ES entry name,[FR entry name position],[FR entry name size],FR entry name,[GB entry name position],[GB entry name size],GB entry name,Unknown #1,Order by importance,Order by alphabet,Padding #1,Unknown #2,Unknown #3,Padding #2,Padding #3,[DE description position],[DE description size],DE description string,[ES description position],[ES description size],ES description string,[FR description position],[FR description size],FR description string,[GB description position],[GB description size],GB description string
320,2150397532,122590,14,Green Crystal,121954,14,Cristal Verde,122579,13,Cristal Vert,120150,14,Green Crystal,0,7,12,0,0,0,0,0,98914,84,"Altertümliches Juwel, das die Kraft des Lebens\nenthält. Kann Green Gigas aufrufen.",97903,93,Gema ancestral que contiene el poder de la vida.\nTiene el poder de convocar al Gigas Verde.,98137,89,Pierre ancienne qui détient le pouvoir de la\nvie. A le pouvoir d'invoquer le Giga Vert.,96761,93,An ancient gem that contains the power of life.\nIt has the power to summon the Green Gigas.
321,2150397548,122604,12,Red Crystal,121968,13,Cristal Rojo,122592,14,Cristal Rouge,120164,12,Red Crystal,0,6,24,0,0,0,0,0,98998,82,"Altertümliches Juwel, das die Kraft des Feuers\nenthält. Kann Red Gigas aufrufen.",97996,91,Gema ancestral que contiene el poder del fuego.\nTiene el poder de convocar al Gigas Rojo.,98226,92,Pierre ancienne qui détient le pouvoir du feu.\nElle a le pouvoir d'invoquer le Giga Rouge.,96854,91,An ancient gem that contains the power of fire.\nIt has the power to summon the Red Gigas.
322,2150397560,122616,15,Purple Crystal,121981,16,Cristal Púrpura,122606,14,Cristal Mauve,120176,15,Purple Crystal,0,9,21,0,0,0,0,0,99080,84,"Altertümliches Juwel, das die Kraft des Eises\nenthält. Kann Purple Gigas aufrufen.",98087,94,Gema ancestral que contiene el poder del hielo.\nTiene el poder de convocar al Gigas Purpura.,98318,89,Pierre ancienne qui détient le pouvoir de glace.\nA le pouvoir d'invoquer le Giga Mauve.,96945,93,An ancient gem that contains the power of ice.\nIt has the power to summon the Purple Gigas.
323,2150397576,122631,13,Blue Crystal,121997,13,Cristal Azul,122620,13,Cristal Bleu,120191,13,Blue Crystal,0,8,0,0,0,0,0,0,99164,83,Altertümliches Juwel mit der Kraft von Wind und\nWasser. Kann Blue Gigas aufrufen.,98181,90,Gema ancestral que contiene el poder del viento\ny el agua. Puede convocar al Gigas Azul.,98407,89,Pierre ancienne au pouvoir de vent et d'eau.\nElle a le pouvoir d'invoquer le Giga Bleu.,97038,93,An ancient gem with the power of wind and water.\nIt has the power to summon the Blue Gigas.
324,2150397592,122644,15,Yellow Crystal,122010,17,Cristal Amarillo,122633,14,Cristal Jaune,120204,15,Yellow Crystal,0,10,33,0,0,0,0,0,99247,77,Altertümliches Juwel mit der Kraft des Blitzes.\nKann Yellow Gigas aufrufen.,98271,94,Gema ancestral que contiene el poder del rayo.\nTiene el poder de convocar al Gigas Amarillo.,98496,91,Pierre ancienne qui a le pouvoir de l'éclair.\nElle a le pouvoir d'invoquer le Giga Jaune.,97131,90,An ancient gem with the power of lightning.\nIt has the power to summon the Yellow Gigas.
325,2150955976,122659,10,GINGESSHO,122027,10,GINGESSHO,122647,10,GINGESSHO,120219,10,GINGESSHO,0,38,-1,0,0,0,0,0,99324,8,CUT.\n,98365,8,CUT.\n,98587,8,CUT.\n,97221,13,CUT.\n------
326,2150397608,122669,17,Green Moon Stone,122037,13,Piedra Verde,122657,13,Pierre Verte,120229,17,Green Moon Stone,0,0,13,0,0,0,0,0,99332,79,Ein Moon Stone vom Green Moon. Er kann Waffen\ndie Kräfte der Natur verleihen.,98373,92,Piedra Lunar procedente de la Luna Verde.\nOtorga a las armas los poderes de la naturaleza.,98595,95,Une Pierre de Lune de la Lune Verte. Elle peut\ninsuffler les pouvoirs de la nature aux armes.,97234,84,A Moon Stone from the Green Moon. It can infuse\nweapons with the powers of nature.
327,2150397628,122686,15,Red Moon Stone,122050,12,Piedra Roja,122670,13,Pierre Rouge,120246,15,Red Moon Stone,0,1,25,0,0,0,0,0,99411,77,Ein Moon Stone vom Red Moon. Er kann Waffen\ndie Kraft des Feuers verleihen.,98465,84,Piedra Lunar procedente de la Luna Roja.\nOtorga a las armas los poderes del fuego.,98690,89,Une Pierre de Lune de la Lune Rouge. Elle peut\ninsuffler les pouvoirs du feu aux armes.,97318,80,A Moon Stone from the Red Moon. It can infuse\nweapons with the powers of fire.
328,2150397644,122701,17,Purple MoonStone,122062,15,Piedra Púrpura,122683,13,Pierre Mauve,120261,17,Purple MoonStone,0,2,22,0,0,0,0,0,99488,79,Ein Moon Stone vom Purple Moon. Er kann Waffen\ndie Kraft des Eises verleihen.,98549,87,Piedra Lunar procedente de la Luna Púrpura.\nOtorga a las armas los poderes del hielo.,98779,94,Une Pierre de Lune de la Lune Mauve. Elle peut\ninsuffler les pouvoirs de la glace aux armes.,97398,82,A Moon Stone from the Purple Moon. It can infuse\nweapons with the powers of ice.
329,2150397664,122718,16,Blue Moon Stone,122077,12,Piedra Azul,122696,13,Pierre Bleue,120278,16,Blue Moon Stone,0,3,1,0,0,0,0,0,99567,88,Ein Moon Stone vom Blue Moon. Er kann Waffen die\nKräfte von Wind und Wasser verleihen.,98636,96,Piedra Lunar procedente de la Luna Azul. Otorga\na las armas los poderes del viento y del agua.,98873,91,Une Pierre de Lune de la Lune Bleue. Peut donner\nles pouvoirs de vent et d'eau aux armes.,97480,91,A Moon Stone from the Blue Moon. It can infuse\nweapons with the powers of wind and water.
