Entry ID,EU Message ID,[DE Entry Name Pos.],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos.],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos.],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos.],[GB Entry Name Size],GB Entry Name,Retail Price in %,Order by Prio.,EU Order by ABC,Pad. 1,Purchase Price,Pad. 2,Pad. 3,[DE Descr. Pos.],[DE Descr. Size],DE Descr. Str.,[ES Descr. Pos.],[ES Descr. Size],ES Descr. Str.,[FR Descr. Pos.],[FR Descr. Size],FR Descr. Str.,[GB Descr. Pos.],[GB Descr. Size],GB Descr. Str.
320,0x8c37389c,0x1a7d8,14,Green Crystal,0x1acf8,14,Cristal Verde,0x1b163,13,Cristal Vert,0x1a7a8,14,Green Crystal,0,7,12,0,0,0,0,0x14dd0,93,An ancient gem that contains the power of life.\\nIt has the power to summon the Green Gigas.,0x14faa,93,Gema ancestral que contiene el poder de la vida.\\nTiene el poder de convocar al Gigas Verde.,0x152b2,90,Pierre ancienne qui détient le pouvoir de la\\nvie. A le pouvoir d'invoquer le Gigas Vert.,0x14da0,93,An ancient gem that contains the power of life.\\nIt has the power to summon the Green Gigas.
321,0x8c3738ac,0x1a7e6,12,Red Crystal,0x1ad06,13,Cristal Rojo,0x1b170,14,Cristal Rouge,0x1a7b6,12,Red Crystal,0,6,24,0,0,0,0,0x14e2d,91,An ancient gem that contains the power of fire.\\nIt has the power to summon the Red Gigas.,0x15007,91,Gema ancestral que contiene el poder del fuego.\\nTiene el poder de convocar al Gigas Rojo.,0x1530c,93,Pierre ancienne qui détient le pouvoir du feu.\\nElle a le pouvoir d'invoquer le Gigas Rouge.,0x14dfd,91,An ancient gem that contains the power of fire.\\nIt has the power to summon the Red Gigas.
322,0x8c3738b8,0x1a7f2,15,Purple Crystal,0x1ad13,16,Cristal Púrpura,0x1b17e,14,Cristal Mauve,0x1a7c2,15,Purple Crystal,0,9,21,0,0,0,0,0x14e88,93,An ancient gem that contains the power of ice.\\nIt has the power to summon the Purple Gigas.,0x15062,94,Gema ancestral que contiene el poder del hielo.\\nTiene el poder de convocar al Gigas Purpura.,0x15369,90,Pierre ancienne qui détient le pouvoir de glace.\\nA le pouvoir d'invoquer le Gigas Mauve.,0x14e58,93,An ancient gem that contains the power of ice.\\nIt has the power to summon the Purple Gigas.
323,0x8c3738c8,0x1a801,13,Blue Crystal,0x1ad23,13,Cristal Azul,0x1b18c,13,Cristal Bleu,0x1a7d1,13,Blue Crystal,0,8,0,0,0,0,0,0x14ee5,93,An ancient gem with the power of wind and water.\\nIt has the power to summon the Blue Gigas.,0x150c0,90,Gema ancestral que contiene el poder del viento\\ny el agua. Puede convocar al Gigas Azul.,0x153c3,90,Pierre ancienne au pouvoir de vent et d'eau.\\nElle a le pouvoir d'invoquer le Gigas Bleu.,0x14eb5,93,An ancient gem with the power of wind and water.\\nIt has the power to summon the Blue Gigas.
324,0x8c3738d8,0x1a80e,15,Yellow Crystal,0x1ad30,17,Cristal Amarillo,0x1b199,14,Cristal Jaune,0x1a7de,15,Yellow Crystal,0,10,33,0,0,0,0,0x14f42,90,An ancient gem with the power of lightning.\\nIt has the power to summon the Yellow Gigas.,0x1511a,94,Gema ancestral que contiene el poder del rayo.\\nTiene el poder de convocar al Gigas Amarillo.,0x1541d,92,Pierre ancienne qui a le pouvoir de l'éclair.\\nElle a le pouvoir d'invoquer le Gigas Jaune.,0x14f12,90,An ancient gem with the power of lightning.\\nIt has the power to summon the Yellow Gigas.
325,0x8c3738e8,0x1a81d,10,GINGESSHO,0x1ad41,10,GINGESSHO,0x1b1a7,10,GINGESSHO,0x1a7ed,10,GINGESSHO,0,38,-1,0,0,0,0,0x14f9c,13,CUT.\\n------,0x15178,13,CUT.\\n------,0x15479,13,CUT.\\n------,0x14f6c,13,CUT.\\n------
326,0x8c3738f0,0x1a827,17,Green Moon Stone,0x1ad4b,13,Piedra Verde,0x1b1b1,13,Pierre Verte,0x1a7f7,17,Green Moon Stone,0,0,13,0,0,0,0,0x14fa9,84,A Moon Stone from the Green Moon. It can infuse\\nweapons with the powers of nature.,0x15185,92,Piedra Lunar procedente de la Luna Verde.\\nOtorga a las armas los poderes de la naturaleza.,0x15486,95,Une Pierre de Lune de la Lune Verte. Elle peut\\ninsuffler les pouvoirs de la nature aux armes.,0x14f79,84,A Moon Stone from the Green Moon. It can infuse\\nweapons with the powers of nature.
327,0x8c373904,0x1a838,15,Red Moon Stone,0x1ad58,12,Piedra Roja,0x1b1be,13,Pierre Rouge,0x1a808,15,Red Moon Stone,0,1,25,0,0,0,0,0x14ffd,80,A Moon Stone from the Red Moon. It can infuse\\nweapons with the powers of fire.,0x151e1,84,Piedra Lunar procedente de la Luna Roja.\\nOtorga a las armas los poderes del fuego.,0x154e5,89,Une Pierre de Lune de la Lune Rouge. Elle peut\\ninsuffler les pouvoirs du feu aux armes.,0x14fcd,80,A Moon Stone from the Red Moon. It can infuse\\nweapons with the powers of fire.
328,0x8c373914,0x1a847,17,Purple MoonStone,0x1ad64,15,Piedra Púrpura,0x1b1cb,13,Pierre Mauve,0x1a817,17,Purple MoonStone,0,2,22,0,0,0,0,0x1504d,82,A Moon Stone from the Purple Moon. It can infuse\\nweapons with the powers of ice.,0x15235,87,Piedra Lunar procedente de la Luna Púrpura.\\nOtorga a las armas los poderes del hielo.,0x1553e,94,Une Pierre de Lune de la Lune Mauve. Elle peut\\ninsuffler les pouvoirs de la glace aux armes.,0x1501d,82,A Moon Stone from the Purple Moon. It can infuse\\nweapons with the powers of ice.
329,0x8c373928,0x1a858,16,Blue Moon Stone,0x1ad73,12,Piedra Azul,0x1b1d8,13,Pierre Bleue,0x1a828,16,Blue Moon Stone,0,3,1,0,0,0,0,0x1509f,91,A Moon Stone from the Blue Moon. It can infuse\\nweapons with the powers of wind and water.,0x1528c,96,Piedra Lunar procedente de la Luna Azul. Otorga\\na las armas los poderes del viento y del agua.,0x1559c,91,Une Pierre de Lune de la Lune Bleue. Peut donner\\nles pouvoirs de vent et d'eau aux armes.,0x1506f,91,A Moon Stone from the Blue Moon. It can infuse\\nweapons with the powers of wind and water.
330,0x8c373938,0x1a868,17,Yellow MoonStone,0x1ad7f,16,Piedra Amarilla,0x1b1e5,13,Pierre Jaune,0x1a838,17,Yellow MoonStone,0,4,34,0,0,0,0,0x150fa,88,A Moon Stone from the Yellow Moon. It can infuse\\nweapons with the powers of lightning.,0x152ec,84,Piedra Lunar procedente de la Luna Amarilla.\\nOtorga a las armas el poder del rayo.,0x155f7,89,Une Pierre de Lune de la Lune Jaune. Peut\\ninsuffler les pouvoirs de l'éclair aux armes.,0x150ca,88,A Moon Stone from the Yellow Moon. It can infuse\\nweapons with the powers of lightning.
