Entry ID,EU Message ID,[DE Entry Name Pos],[DE Entry Name Size],DE Entry Name,[ES Entry Name Pos],[ES Entry Name Size],ES Entry Name,[FR Entry Name Pos],[FR Entry Name Size],FR Entry Name,[GB Entry Name Pos],[GB Entry Name Size],GB Entry Name,Sell%,Ord by 123,EU Ord by ABC,Pad 1,Buy,Pad 2,Pad 3,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str
320,0x802c765c,0x1dede,14,Green Crystal,0x1dc62,14,Cristal Verde,0x1ded3,13,Cristal Vert,0x1d556,14,Green Crystal,0,7,12,0,0,0,0,0x18262,84,"Altertümliches Juwel, das die Kraft des Lebens\\nenthält. Kann Green Gigas aufrufen.",0x17e6f,93,Gema ancestral que contiene el poder de la vida.\\nTiene el poder de convocar al Gigas Verde.,0x17f59,89,Pierre ancienne qui détient le pouvoir de la\\nvie. A le pouvoir d'invoquer le Giga Vert.,0x179f9,93,An ancient gem that contains the power of life.\\nIt has the power to summon the Green Gigas.
321,0x802c766c,0x1deec,12,Red Crystal,0x1dc70,13,Cristal Rojo,0x1dee0,14,Cristal Rouge,0x1d564,12,Red Crystal,0,6,24,0,0,0,0,0x182b6,82,"Altertümliches Juwel, das die Kraft des Feuers\\nenthält. Kann Red Gigas aufrufen.",0x17ecc,91,Gema ancestral que contiene el poder del fuego.\\nTiene el poder de convocar al Gigas Rojo.,0x17fb2,92,Pierre ancienne qui détient le pouvoir du feu.\\nElle a le pouvoir d'invoquer le Giga Rouge.,0x17a56,91,An ancient gem that contains the power of fire.\\nIt has the power to summon the Red Gigas.
322,0x802c7678,0x1def8,15,Purple Crystal,0x1dc7d,16,Cristal Púrpura,0x1deee,14,Cristal Mauve,0x1d570,15,Purple Crystal,0,9,21,0,0,0,0,0x18308,84,"Altertümliches Juwel, das die Kraft des Eises\\nenthält. Kann Purple Gigas aufrufen.",0x17f27,94,Gema ancestral que contiene el poder del hielo.\\nTiene el poder de convocar al Gigas Purpura.,0x1800e,89,Pierre ancienne qui détient le pouvoir de glace.\\nA le pouvoir d'invoquer le Giga Mauve.,0x17ab1,93,An ancient gem that contains the power of ice.\\nIt has the power to summon the Purple Gigas.
323,0x802c7688,0x1df07,13,Blue Crystal,0x1dc8d,13,Cristal Azul,0x1defc,13,Cristal Bleu,0x1d57f,13,Blue Crystal,0,8,0,0,0,0,0,0x1835c,83,Altertümliches Juwel mit der Kraft von Wind und\\nWasser. Kann Blue Gigas aufrufen.,0x17f85,90,Gema ancestral que contiene el poder del viento\\ny el agua. Puede convocar al Gigas Azul.,0x18067,89,Pierre ancienne au pouvoir de vent et d'eau.\\nElle a le pouvoir d'invoquer le Giga Bleu.,0x17b0e,93,An ancient gem with the power of wind and water.\\nIt has the power to summon the Blue Gigas.
324,0x802c7698,0x1df14,15,Yellow Crystal,0x1dc9a,17,Cristal Amarillo,0x1df09,14,Cristal Jaune,0x1d58c,15,Yellow Crystal,0,10,33,0,0,0,0,0x183af,77,Altertümliches Juwel mit der Kraft des Blitzes.\\nKann Yellow Gigas aufrufen.,0x17fdf,94,Gema ancestral que contiene el poder del rayo.\\nTiene el poder de convocar al Gigas Amarillo.,0x180c0,91,Pierre ancienne qui a le pouvoir de l'éclair.\\nElle a le pouvoir d'invoquer le Giga Jaune.,0x17b6b,90,An ancient gem with the power of lightning.\\nIt has the power to summon the Yellow Gigas.
325,0x8034fbc8,0x1df23,10,GINGESSHO,0x1dcab,10,GINGESSHO,0x1df17,10,GINGESSHO,0x1d59b,10,GINGESSHO,0,38,-1,0,0,0,0,0x183fc,8,CUT.\\n ,0x1803d,8,CUT.\\n ,0x1811b,8,CUT.\\n ,0x17bc5,13,CUT.\\n------
326,0x802c76a8,0x1df2d,17,Green Moon Stone,0x1dcb5,13,Piedra Verde,0x1df21,13,Pierre Verte,0x1d5a5,17,Green Moon Stone,0,0,13,0,0,0,0,0x18404,79,Ein Moon Stone vom Green Moon. Er kann Waffen\\ndie Kräfte der Natur verleihen.,0x18045,92,Piedra Lunar procedente de la Luna Verde.\\nOtorga a las armas los poderes de la naturaleza.,0x18123,95,Une Pierre de Lune de la Lune Verte. Elle peut\\ninsuffler les pouvoirs de la nature aux armes.,0x17bd2,84,A Moon Stone from the Green Moon. It can infuse\\nweapons with the powers of nature.
327,0x802c76bc,0x1df3e,15,Red Moon Stone,0x1dcc2,12,Piedra Roja,0x1df2e,13,Pierre Rouge,0x1d5b6,15,Red Moon Stone,0,1,25,0,0,0,0,0x18453,77,Ein Moon Stone vom Red Moon. Er kann Waffen\\ndie Kraft des Feuers verleihen.,0x180a1,84,Piedra Lunar procedente de la Luna Roja.\\nOtorga a las armas los poderes del fuego.,0x18182,89,Une Pierre de Lune de la Lune Rouge. Elle peut\\ninsuffler les pouvoirs du feu aux armes.,0x17c26,80,A Moon Stone from the Red Moon. It can infuse\\nweapons with the powers of fire.
328,0x802c76cc,0x1df4d,17,Purple MoonStone,0x1dcce,15,Piedra Púrpura,0x1df3b,13,Pierre Mauve,0x1d5c5,17,Purple MoonStone,0,2,22,0,0,0,0,0x184a0,79,Ein Moon Stone vom Purple Moon. Er kann Waffen\\ndie Kraft des Eises verleihen.,0x180f5,87,Piedra Lunar procedente de la Luna Púrpura.\\nOtorga a las armas los poderes del hielo.,0x181db,94,Une Pierre de Lune de la Lune Mauve. Elle peut\\ninsuffler les pouvoirs de la glace aux armes.,0x17c76,82,A Moon Stone from the Purple Moon. It can infuse\\nweapons with the powers of ice.
329,0x802c76e0,0x1df5e,16,Blue Moon Stone,0x1dcdd,12,Piedra Azul,0x1df48,13,Pierre Bleue,0x1d5d6,16,Blue Moon Stone,0,3,1,0,0,0,0,0x184ef,88,Ein Moon Stone vom Blue Moon. Er kann Waffen die\\nKräfte von Wind und Wasser verleihen.,0x1814c,96,Piedra Lunar procedente de la Luna Azul. Otorga\\na las armas los poderes del viento y del agua.,0x18239,91,Une Pierre de Lune de la Lune Bleue. Peut donner\\nles pouvoirs de vent et d'eau aux armes.,0x17cc8,91,A Moon Stone from the Blue Moon. It can infuse\\nweapons with the powers of wind and water.
